#{"t_start": 1787237937.5501997, "env_id": "Ant-v5"}
r,l,t
-6.24038,13,49.932279
10.82983,30,49.955287
-51.203202,62,50.00593
-24.071922,17,50.01893
-28.337169,36,50.045938
-16.224821,46,50.079457
-82.364029,49,50.114457
-18.253199,73,50.167981
-21.60137,23,50.184982
-9.828832,42,50.213983
-68.843415,76,50.267512
-7.472128,21,50.283512
-63.276528,57,50.325356
-28.239371,40,50.352476
17.844643,37,50.37899
-23.42689,17,50.391991
-11.120062,18,50.404992
-1.796839,35,50.428992
-82.844273,70,50.479616
-36.491053,23,50.496616
-31.308679,44,50.528618
-5.699042,54,50.56914
-19.713574,17,50.580605
-6.024369,7,50.586613
-25.647475,19,50.600613
-44.835039,62,50.645621
-12.503999,14,50.65562
-33.58473,27,50.675136
-41.070442,32,50.701137
-31.638693,36,50.727137
-90.546287,40,50.757146
-22.089704,16,50.768665
-86.264329,57,50.811666
-33.544789,39,50.840666
-30.778523,21,50.857179
-60.755185,60,50.903187
-68.234687,41,50.934479
-11.072894,29,50.955487
-26.594693,15,50.967005
-16.454753,12,50.977108
-55.665003,25,50.995117
-17.98858,13,51.006116
-21.739046,42,51.039117
-15.219919,18,51.053125
-46.043838,36,51.08064
-57.507386,60,51.126162
-6.449552,20,51.140162
26.255295,61,51.185684
-32.499154,24,51.205684
-26.478711,49,51.241685
-313.611206,263,51.92807
-13.285594,14,51.940078
-21.235076,17,51.956191
-41.133006,48,51.997841
1.497096,12,52.008841
-57.274049,48,52.049847
-33.421655,26,52.073365
5.971336,17,52.087366
-84.095998,81,52.157376
-64.729351,59,52.211897
12.151505,15,52.224897
-30.523602,21,52.241897
-27.004102,21,52.259421
-53.76708,45,52.292421
-27.317497,58,52.334429
-18.161714,20,52.349513
-861.911889,1000,53.086885
-81.501809,84,53.148408
-12.461956,11,53.157409
11.277933,102,53.231924
-14.492922,17,53.246933
-7.685251,13,53.260452
-802.18716,1000,54.451513
-7.026996,29,54.471537
-789.627123,887,55.129899
-36.128799,39,55.160412
26.062991,63,55.209419
-47.214479,78,55.266941
-150.510603,174,55.858145
-21.438611,20,55.872665
-14.593728,13,55.882665
-8.383892,24,55.902663
-41.4181,47,55.940168
-68.210114,31,55.964689
-48.007145,80,56.025801
-16.451954,36,56.05181
-3.380836,48,56.087325
-64.78071,54,56.129325
4.455397,33,56.153333
-9.517414,29,56.175447
-0.468455,26,56.196448
-64.334414,66,56.243447
-65.522194,49,56.277975
-4.671535,59,56.318975
-24.215123,24,56.335983
-8.451457,14,56.345494
-100.884506,85,56.405573
-25.730436,47,56.438573
-78.932232,93,56.503328
-18.265483,16,56.514328
-873.941764,1000,57.245649
8.299564,29,57.267171
-21.315742,16,57.279172
-60.712201,81,57.798087
-39.129619,36,57.825086
-87.447289,145,57.932611
-140.949853,85,57.999892
-75.313202,72,58.0529
-59.139652,52,58.09142
-22.444475,26,58.115421
-16.033682,16,58.12742
-54.621478,40,58.157426
-97.001245,130,58.248955
-67.383703,121,58.335472
-40.328524,27,58.354481
-21.402941,41,58.382998
-28.486279,18,58.395998
-23.530084,21,58.409997
-76.867089,53,58.448005
-9.564813,16,58.460006
-15.689951,24,58.478629
-21.392227,13,58.487629
-12.540524,13,58.497628
-34.498932,40,58.52563
-36.033713,31,58.548637
-19.905065,57,58.592153
-10.306571,13,58.601153
-805.944553,1000,59.818126
-20.848772,30,59.842127
-42.152288,30,59.865649
-16.390094,22,59.88265
-4.258792,17,59.895092
-36.43328,45,59.930092
-3.327663,14,59.943092
-14.219838,13,59.954099
-44.014155,45,59.988706
-107.056321,119,60.076234
-17.331855,11,60.084234
-13.134009,18,60.099235
-20.871253,25,60.118235
-18.055732,47,60.151242
-31.388494,23,60.167757
-21.139257,32,60.189758
-27.343028,40,60.216924
-70.35677,82,60.275451
-13.398359,25,60.293451
-51.559334,34,60.316464
-0.2744,8,60.322453
-13.85627,37,60.34946
-20.396959,97,60.421977
-29.062435,34,60.447976
-23.25016,23,60.464496
6.426963,23,60.481588
-52.319082,66,60.529589
-6.031531,22,60.545589
-18.242083,14,60.555594
-28.197737,52,60.59411
-14.152005,11,60.60211
-25.889925,22,60.618111
-3.974445,15,60.629111
-29.453728,31,60.652117
-70.587599,139,60.757645
-124.049091,71,60.808161
-11.126145,86,60.871683
-5.419987,30,60.893684
-23.371043,35,60.918684
-60.075014,44,60.951691
-30.726801,45,60.984722
-31.285414,26,61.004322
-87.142181,77,61.062329
-3.567402,38,61.090853
-38.792762,48,61.12594
20.110769,27,61.14594
-16.6379,15,61.156948
-56.590758,36,61.183464
-24.022041,54,61.223465
-7.043738,10,61.231465
-30.642982,22,61.248465
-4.264808,18,61.262472
-1.452361,27,61.744022
-36.795434,46,61.780547
-751.415417,1000,62.538193
-16.099459,26,62.558199
-48.66047,86,62.619715
-96.959484,136,62.718239
-14.155201,28,62.739239
-26.610189,28,62.759247
-21.656315,35,62.785762
-18.988356,15,62.796763
-99.373581,75,62.853772
-53.943427,49,62.894287
-86.124128,96,62.965807
-25.867415,26,62.984912
-17.620514,13,62.994913
-793.15969,1000,64.23918
-1.797331,24,64.256188
-51.808572,76,64.310708
-20.041744,26,64.329708
-45.871756,98,64.401233
-38.12852,57,64.443233
-24.330064,40,64.47285
-816.780745,1000,65.222166
-3.875085,19,65.237166
-21.631321,33,65.262174
-20.176724,40,65.294689
-11.515927,15,65.306689
-113.634903,166,65.916061
-16.443389,20,65.933432
-13.465653,25,65.952436
-2.033562,10,65.960439
-9.916423,12,65.969955
-140.727158,253,66.153561
-21.351502,57,66.194076
-9.741145,47,66.226076
-248.214294,365,66.486754
-53.375348,92,66.552763
-121.348516,98,66.62328
-773.475182,1000,67.841126
-83.657432,85,67.907653
-13.812655,35,67.934656
-7.707082,38,67.962664
-78.504999,44,67.994693
13.445745,42,68.026694
-54.123279,56,68.072221
-8.603722,39,68.101221
-8.127532,27,68.121222
20.562514,36,68.147222
-11.383187,16,68.159227
-10.706191,43,68.191758
-24.147074,42,68.22275
-2.5445,16,68.235749
-15.985488,14,68.248751
-26.447198,33,68.274271
-40.418354,84,68.33728
-50.242608,57,68.378919
-20.671979,44,68.411919
-5.265989,16,68.423922
-14.354691,47,68.460927
-28.371782,43,68.491962
-24.931258,18,68.505962
-9.435672,25,68.523963
-14.729123,83,68.585485
-21.462323,63,68.633487
-2.056976,23,68.651487
-65.161906,59,68.695012
-9.100511,30,68.717012
-706.436438,1000,69.918072
-8.764069,14,69.928072
-9.204997,9,69.936072
-632.210337,1000,70.670423
-57.756469,77,70.726423
-29.722368,92,70.793949
3.750556,55,70.83395
-117.878855,134,70.935474
-93.188823,105,71.016116
-26.271394,36,71.045118
-36.487494,73,71.101649
4.369483,13,71.112163
-7.803978,15,71.124162
-7.707871,14,71.134162
3.419234,45,71.169686
-74.826988,147,71.282214
-48.023457,44,71.797193
-68.18288,127,71.897719
-9.886867,20,71.91372
-6.847934,14,71.92472
-16.595446,59,71.969237
-24.012043,22,71.987346
6.193147,23,72.004347
-33.286518,14,72.014346
1.90905,21,72.029347
-48.324086,32,72.052346
-28.395228,24,72.069862
-4.610537,25,72.08887
6.368439,16,72.100871
-2.615615,31,72.123872
-24.984383,14,72.133871
-5.745107,14,72.143871
-13.482741,46,72.178396
-16.845105,16,72.189742
-20.455565,12,72.199743
-721.125225,1000,72.944606
-19.47615,39,72.973129
26.012853,39,73.002272
-8.595505,12,73.011272
-19.822944,14,73.023272
-29.631466,44,73.055279
-10.434394,36,73.081795
-1.511781,25,73.099802
-10.542072,65,73.148317
-14.26872,38,73.17584
-49.076765,130,73.268847
-10.852318,19,73.283366
-54.624241,55,73.794126
-9.547837,58,73.837128
-79.591857,76,73.893653
4.904839,13,73.903653
-25.892612,16,73.916653
-67.068822,71,73.971176
6.432711,40,74.001275
-35.184302,25,74.019274
-29.024235,36,74.045276
-28.110075,75,74.098798
-14.121162,22,74.1148
-76.048187,113,74.193323
20.053854,51,74.228324
-24.565282,21,74.245323
-19.468436,48,74.279848
-24.541901,41,74.307848
-65.311752,85,74.368142
-13.462831,11,74.376657
-9.584933,20,74.390657
-5.733656,106,74.466665
-47.465592,60,74.51229
3.047062,49,74.55029
0.744456,14,74.561298
-35.615125,24,74.578812
-19.13274,40,74.609813
-27.908223,52,74.647813
-15.669584,35,74.673338
-0.728445,12,74.683339
2.151397,69,74.73334
-16.474912,12,74.74334
-685.03379,1000,75.96831
-20.125435,30,75.990338
-20.141043,21,76.005964
-16.555192,21,76.021964
2.840302,15,76.032969
-5.526267,14,76.043964
1.568415,14,76.054967
-14.89158,13,76.064973
1.136873,22,76.081489
-25.270952,24,76.099489
-682.126896,1000,76.844262
-31.707479,35,76.871776
5.231346,54,76.910784
-22.813154,21,76.925785
-4.037854,24,76.943786
-10.230456,22,76.959794
-25.362851,38,76.987822
-21.593617,21,77.003415
14.248003,74,77.057423
-22.393594,51,77.093945
-16.510814,98,77.166033
2.170278,53,77.204548
-6.904866,45,77.237549
-61.71666,154,77.817392
-1.987844,47,77.852392
-37.562243,30,77.876914
-11.940874,26,77.895915
-29.635544,33,77.923912
-33.773355,44,77.956916
-17.427681,44,77.989957
-11.408207,16,78.003568
-26.451142,79,78.066425
-10.393354,7,78.072425
-50.810026,34,78.095944
-1.377732,22,78.110944
-91.971417,85,78.170953
-19.952356,73,78.22347
-0.589219,16,78.236469
-15.034434,13,78.24547
-37.71605,27,78.264477
-18.215565,64,78.310993
-7.866032,14,78.320994
-8.173955,11,78.328994
-12.385947,23,78.344995
-53.244313,105,78.418517
-628.655731,865,79.056774
-72.854362,43,79.091305
-31.434011,50,79.131408
-1.715248,17,79.14441
-16.731086,18,79.158409
-62.74491,92,79.230932
-41.15745,100,79.773703
-31.47924,64,79.824463
-5.172252,19,79.838933
-25.307225,21,79.854932
-13.230367,25,79.874735
-9.575124,14,79.885746
-32.46421,44,79.919744
-50.304211,91,79.986784
-11.765386,14,79.997385
-69.58979,115,80.084912
10.12887,24,80.102327
3.472169,27,80.121325
-23.053496,38,80.152325
-17.279928,29,80.17455
-131.213098,135,80.268566
1.550382,10,80.276084
14.004684,30,80.297084
-51.228721,68,80.345599
-18.330963,49,80.381746
-28.783545,42,80.413746
-65.154663,63,80.460756
-49.32017,31,80.483375
-103.746515,104,80.565382
-68.745725,53,80.602898
-5.407341,12,80.611899
-663.080988,1000,81.809344
-26.449987,36,81.837723
5.018258,59,81.882248
-6.761,14,81.893248
-25.813529,39,81.924249
-13.130672,29,81.945249
-27.148167,45,81.978774
13.923748,14,81.989289
-26.501229,45,82.022412
