#{"t_start": 1787236830.6350453, "env_id": "Ant-v5"}
r,l,t
-19.456836,25,61.101475
-826.233401,1000,62.341662
-17.845313,21,62.357813
-11.947329,17,62.37002
-43.853738,52,62.408021
-23.38255,27,62.427021
-13.609733,18,62.440028
-16.098334,27,62.459543
-115.857453,159,62.578771
-35.926258,48,62.613771
-63.387697,88,62.679301
-42.329977,61,62.725302
-7.979034,12,62.733303
-10.782455,14,62.744307
-14.805822,18,62.756308
-16.500563,17,62.768823
-805.447001,1000,64.015182
-10.306856,16,64.029182
-22.526893,25,64.049182
-31.908882,47,64.085702
-10.229221,13,64.094702
-30.531758,36,64.122702
-52.013551,76,64.177234
-97.621906,128,64.26846
-31.583346,39,64.296464
-795.905996,1000,65.050111
-65.723284,94,65.120629
-8.858497,11,65.12963
-24.086823,26,65.148637
-76.696581,107,65.228164
-802.447454,1000,66.447872
-15.231048,20,66.462387
-120.916793,174,66.593582
-14.060366,22,66.610583
-29.421844,50,66.647591
-36.772841,46,66.681372
-35.180202,63,66.726373
-29.518065,37,66.752381
-67.741639,90,66.823903
-11.009744,14,66.833904
-11.576139,12,66.842902
-13.960787,23,66.859908
-17.615514,24,66.878429
-32.880024,48,66.913945
-52.000574,76,66.968473
-53.80953,69,67.019503
-28.198127,45,67.05351
-15.907925,21,67.069012
-7.257205,12,67.078012
-112.826938,173,67.207542
-70.546461,83,67.723583
-36.18745,40,67.754583
-23.668567,43,67.789313
-24.880973,36,67.817904
-51.67103,70,67.871436
-24.165252,43,67.905517
-26.39769,40,67.936517
-28.139104,47,67.973042
-45.968672,58,68.018043
-54.723707,80,68.080563
-13.924039,17,68.093563
-25.936943,35,68.120568
-12.264742,13,68.130569
-32.09702,39,68.159577
-27.676285,37,68.187091
-62.427755,94,68.254303
-19.315383,18,68.267819
-19.20856,20,68.28282
-753.677325,1000,69.03025
-8.892435,15,69.042251
-24.980739,47,69.078774
-27.767177,41,69.110775
-17.797191,19,69.124774
-45.025783,62,69.172285
-22.862966,28,69.193288
-59.32761,100,69.730617
-38.35973,70,69.784658
-16.462541,19,69.799658
-7.686731,10,69.807658
-752.939716,1000,70.568077
-48.998219,76,70.62308
-12.600901,19,70.636078
-21.528211,32,70.659092
-33.63206,51,70.696213
-38.708177,54,70.735213
-18.778243,22,70.751221
-67.33537,100,70.824739
-5.269671,11,70.832738
-41.568048,63,70.877268
-23.573808,22,70.892783
-11.689083,15,70.904448
-42.208201,51,70.941452
-13.993736,17,70.953454
-767.737074,1000,72.178301
-39.037368,48,72.213301
-23.294258,42,72.245302
-22.368165,32,72.268824
-28.629451,49,72.303825
-44.965519,65,72.351834
-18.634442,34,72.377562
-23.347111,31,72.400563
-27.360834,36,72.425566
-764.03224,1000,73.172318
-35.17689,55,73.215318
-65.156586,85,73.736024
-18.486311,26,73.756028
-19.94142,33,73.781585
-29.753115,33,73.806589
-24.946392,40,73.837584
-12.386138,17,73.851585
-43.989045,79,73.91383
-8.771687,11,73.92283
-30.073693,41,73.954844
-65.046037,92,74.028358
-18.054703,27,74.049359
-6.081406,17,74.062366
-26.598453,43,74.093884
-27.412019,40,74.122884
-18.114248,23,74.139889
-62.980931,81,74.200416
-29.830592,39,74.231426
-13.404409,16,74.243448
-740.996894,1000,74.973818
-40.475445,55,75.013816
-32.473774,49,75.050818
-9.803165,12,75.059827
-12.950299,20,75.075345
-10.641428,12,75.084344
-18.631281,21,75.101341
-19.29112,24,75.120349
-14.77564,19,75.134341
-20.609501,34,75.159354
-727.341921,1000,76.382728
-6.303806,12,76.392728
-32.701049,41,76.423729
-33.015722,44,76.456737
-21.987319,35,76.482253
-9.238815,14,76.493253
-15.673746,39,76.522253
-28.137457,48,76.556262
-24.565888,43,76.587785
-17.869676,23,76.604784
-38.018588,67,76.655792
-17.708248,30,76.679168
-8.849635,12,76.687167
-8.80842,13,76.698169
-13.359116,27,76.718168
-10.247234,18,76.731169
-40.361189,64,76.777699
-19.597253,30,76.800699
-71.707427,109,76.879227
-16.559008,23,76.896325
-700.499038,1000,78.125711
-14.112135,18,78.138712
-28.727644,47,78.174246
-8.56832,14,78.185375
-16.855797,29,78.207245
-13.535595,18,78.220245
-32.39464,47,78.255246
-34.424778,52,78.292774
-82.231149,134,78.389384
-42.924863,56,78.430385
-14.587651,24,78.447388
-24.538415,31,78.470911
-82.450502,146,78.580457
-54.961267,101,78.656496
-19.617914,23,78.675017
-27.910648,39,78.705015
-16.890298,25,78.723016
-6.690382,10,78.730016
-54.063064,74,78.786539
-10.014314,22,78.802539
-47.58764,77,78.858547
-25.008057,34,78.88307
-12.564152,18,78.896285
-21.433227,25,78.915285
-9.641276,13,78.925285
-14.477666,17,78.937286
-14.045466,24,78.954286
-17.452229,23,78.972361
-12.371911,13,78.982361
-89.183188,133,79.080873
-33.551154,56,79.123878
-48.502284,85,79.187402
-24.194725,35,79.213403
-15.486923,22,79.230411
-11.952073,23,79.247627
-16.564027,27,79.737257
-27.769204,33,79.763766
-46.0418,68,79.818276
-31.302748,53,79.860285
-44.327573,68,79.913324
-22.243474,26,79.934324
-39.855986,56,79.976846
-104.078668,141,80.089375
-18.807443,23,80.106375
-684.864874,939,80.806426
-14.812209,23,80.822426
-24.777382,30,80.844427
-24.346471,56,80.884963
-15.170887,24,80.903107
-7.683456,15,80.914108
-12.675558,15,80.926108
-24.128278,35,80.953108
-6.704177,18,80.966114
-15.156861,35,80.991629
-11.533375,17,81.003629
-62.063373,105,81.083156
-13.220804,20,81.098151
-40.123743,60,81.143157
-51.391964,65,81.192681
-44.189439,59,81.239681
-703.516744,1000,82.455034
-14.59833,20,82.471045
-6.004841,16,82.483265
-9.446539,12,82.492268
-19.326047,27,82.513265
-35.886651,51,82.550266
-41.067723,53,82.589496
-44.614523,65,82.636488
-33.508868,53,82.675002
-13.503999,16,82.688012
-38.179575,68,82.736011
-10.158444,14,82.746012
-27.451071,40,82.776537
-17.718418,40,82.80749
-719.879556,1000,84.029516
-30.771429,40,84.060863
-19.821714,31,84.084386
-66.046468,107,84.161387
-55.605643,84,84.22091
-64.294954,102,84.295642
-24.030937,32,84.320644
-20.868273,37,84.34765
-16.050883,32,84.370776
-41.641833,58,84.415299
-37.330192,57,84.456301
-56.317602,83,84.516823
-6.983009,19,84.532825
-21.226921,30,84.554826
-16.108697,37,84.581347
-15.380714,23,84.598347
-31.393162,44,84.635348
-67.617031,112,84.715871
-44.820409,77,84.77088
-684.267121,1000,86.025337
-11.388557,18,86.040155
-11.888035,11,86.050155
-42.14643,64,86.110676
-32.646922,55,86.151678
-11.156511,14,86.162678
-72.510803,105,86.239922
-14.29913,20,86.254725
-15.501531,18,86.26873
-722.439344,1000,87.018213
-15.113658,19,87.033211
-32.491654,50,87.07122
-11.036898,36,87.101737
-24.554475,39,87.130735
-28.271096,32,87.154736
-28.051956,31,87.178747
-21.73019,38,87.207674
-32.816791,51,87.24667
-68.944613,102,87.325186
-31.588032,44,87.817609
-21.154575,40,87.848609
-14.517386,21,87.865602
-13.986667,15,87.877602
-7.11385,10,87.885118
-19.249029,34,87.912379
-22.183687,43,87.94638
-34.907937,49,87.988408
-38.514368,56,88.037707
-45.128584,82,88.100224
-32.150419,60,88.146624
-8.37337,16,88.158625
-26.097416,44,88.191375
-28.52694,54,88.232377
-60.569042,109,88.313909
-667.911582,1000,89.057913
-20.697176,32,89.083429
-10.420737,20,89.098429
-45.771349,83,89.160441
-38.984474,67,89.210961
-26.337341,46,89.246991
-14.986077,24,89.265794
-668.521016,1000,90.510412
-10.197975,18,90.523411
-20.902392,29,90.546412
-15.884556,29,90.56742
-38.546059,57,90.611935
-9.810528,19,90.625935
-11.465264,14,90.635936
-23.093445,39,90.663936
-68.632037,98,90.733459
-35.123863,70,90.785999
-34.933549,61,90.831994
-22.180116,32,90.857995
-11.00462,15,90.869002
-12.109833,17,90.881511
-32.449325,59,90.924639
-33.298697,76,90.981648
-647.936579,1000,92.214369
-62.346193,108,92.294996
-9.45008,32,92.319997
-34.414471,66,92.367526
-48.420422,73,92.421667
-14.749816,25,92.439672
-70.754649,142,92.5422
-7.98511,10,92.549199
-5.368752,15,92.5602
-82.076044,173,92.68726
-30.157626,47,92.722257
-10.022373,14,92.732256
-13.90214,35,92.758257
-19.006891,26,92.777265
-8.351774,14,92.787782
-8.864471,10,92.794782
-18.337891,27,92.815905
-19.067445,31,92.838906
-12.247593,14,92.848907
-11.672554,27,92.869913
-35.781335,62,92.917536
-10.020823,15,92.929535
-17.90011,31,92.953535
-17.581699,37,92.983057
-58.499248,81,93.045065
-12.539945,22,93.061067
-45.947701,67,93.113592
-9.18918,15,93.125589
-17.997608,45,93.15959
-12.388836,20,93.1746
-19.950086,27,93.195658
-5.770859,12,93.20465
-9.190207,16,93.217658
-13.341462,26,93.238656
-26.978096,45,93.272662
-10.386357,18,93.287177
-25.168552,47,93.322178
-10.737418,14,93.333178
-24.119702,31,93.358181
-12.621702,22,93.375414
-98.839578,164,93.969161
-74.450423,149,94.084203
